date,merchant,amount
2023-01-24,SBUX,$278.91
"Apr 21th, 23",Starbucks,141.87 USD
05-04-2023,TARGET 00012345,  $246.85  
2023-02-29,NETFLIX.COM,$999999.99
"Sep 10th, 23",AMZ*Amazon.com,USD 24.73
Invalid Date,,21.16
04-24-2023,AMZN Mktp US,347.43
"Dec 22th, 23",MCD,$12.345
06-28-2023,,Invalid
05/25/2023,AT&T Wireless,417.15
"Jun 30th, 23",COMCAST CABLE,139.10
2024-02-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,$12.345
"December 26, 2023",McDonald's Restaurant,280.12 USD
09-04-2023,TARGET 00012345,64.18 USD
"Nov 27th, 23",TGT*,$226.85
2023-13-01,STARBUCKS #1234,  $34.52  
2023-13-01,CHIPOTLE 1234,237.01
2023-04-28,McDonald's Restaurant,-$25.00
2024-02-29,Trader Joes,$0.00
03/05/2023,123456789,$0.00
"April 02, 2023",TARGET.COM,12.00 USD
"October 16, 2023",Amazon Prime,$0.00
31-08-2023,SPOTIFY USA,$215.62
19-04-2023,Starbucks Coffee,399.93
09/09/2023,Starbucks Corp,437.00 USD
"Sep 3rd, 23",MCD,$173.65
"Nov 13, 2023",123456789,USD 193.29
"Dec 18, 2023",McDonald's Restaurant,$999999.99
2023-06-22,In-N-Out Burger,249.68
"August 15, 2023",José's Taquería,USD 498.49
